Target;Simulation;DepthCamera;Polhemus
[  0. -90.   0.];[-7.42630186e-05 -9.02460667e+01  1.00119240e-05];[  2.65829768 -94.68064629   0.78758794];[0.0, 0.0, 0.0]
[ 24. -98.   0.];[ 2.18816948e+01 -9.83604423e+01 -2.51952563e-02];[  19.36356887 -101.55285194    1.15295619];[0.0, 0.0, 0.0]
[ 16. -98. -16.];[ 15.9359747  -98.54446314 -15.82004605];[  16.91451402 -102.89035842  -12.31276862];[0.0, 0.0, 0.0]
[ 16. -98.  -8.];[ 15.90862793 -98.48278796  -7.96945564];[  16.81438944 -102.46876015   -6.19711648];[0.0, 0.0, 0.0]
[ 16. -98.   0.];[ 1.59143597e+01 -9.84659247e+01 -1.50143749e-02];[  16.27962223 -102.25142118    0.46647299];[0.0, 0.0, 0.0]
[ 16. -98.   8.];[ 15.92239927 -98.45558183   7.94428506];[  15.2934595  -103.11889053    7.64884355];[0.0, 0.0, 0.0]
[ 16. -98.  16.];[ 15.92381366 -98.51006881  15.90203957];[   6.58580547 -111.72549643   15.28168361];[0.0, 0.0, 0.0]
[  8. -98.  16.];[  7.96954836 -98.47517237  15.91011176];[   8.71712655 -101.73931833   13.87796468];[0.0, 0.0, 0.0]
[  8. -98.   8.];[  7.96490285 -98.40278502   7.95784336];[   9.41500456 -101.96260593    7.83296752];[0.0, 0.0, 0.0]
[  8. -98.   0.];[ 7.96011244e+00 -9.83935623e+01 -2.20006654e-03];[   9.83890245 -102.12563945    0.93444807];[0.0, 0.0, 0.0]
[  8. -98.  -8.];[  7.95516154 -98.40331713  -7.96216049];[   9.97112144 -102.48540508   -5.971818  ];[0.0, 0.0, 0.0]
[  8. -98. -16.];[  7.94786765 -98.44968556 -15.92093526];[ -15.87137638 -129.40728316   -6.27625505];[0.0, 0.0, 0.0]
[  0. -98. -24.];[-1.08353475e-02 -9.84989539e+01 -2.38719820e+01];[   0.58689547 -102.54673857  -19.78483558];[0.0, 0.0, 0.0]
[  0. -98. -16.];[-1.15394700e-02 -9.84525896e+01 -1.59192341e+01];[   2.45837946 -101.97908953  -13.04089399];[0.0, 0.0, 0.0]
[  0. -98.  -8.];[-5.18141255e-03 -9.83879278e+01 -7.96336440e+00];[   2.37550038 -101.76694228   -6.44609666];[0.0, 0.0, 0.0]
