# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  0. -90.   0.];[-1.31595632e-10 -9.04589618e+01 -1.59633235e-10];[0 0 0];[0.34 -94.19 -1.61]
[ 24. -98.   0.];[ 2.36284075e+01 -9.83162923e+01 -5.87668572e-10];[0 0 0];[22.81 -100.12 -1.95]
[ 16. -98. -16.];[ 15.94860756 -98.34927193 -15.92802252];[0 0 0];[17.16 -100.59 -17.66]
[ 16. -98.  -8.];[ 15.9410917  -98.34709976  -7.96842255];[0 0 0];[17.08 -100.5 -10.54]
[ 16. -98.   0.];[ 1.59409183e+01 -9.83456591e+01 -3.77991954e-04];[0 0 0];[17.01 -100.61 -2.41]
[ 16. -98.   8.];[ 15.941087   -98.34713953   7.96778539];[0 0 0];[17.0 -100.7 5.74]
[ 16. -98.  16.];[ 15.94251318 -98.34539946  15.94222772];[0 0 0];[16.96 -100.57 14.1]
[  8. -98.  16.];[  7.96896932 -98.34052046  15.94220728];[0 0 0];[9.03 -100.61 14.31]
[  8. -98.   8.];[  7.96583772 -98.36582043   7.96614083];[0 0 0];[9.05 -100.71 6.68]
[  8. -98.   0.];[ 7.96533124e+00 -9.83690853e+01  3.77943997e-04];[0 0 0];[8.96 -100.87 -1.32]
[  8. -98.  -8.];[  7.96583395 -98.36588181  -7.96550089];[0 0 0];[8.96 -101.01 -9.44]
[  8. -98. -16.];[  7.96872058 -98.34055493 -15.94192054];[0 0 0];[8.89 -101.06 -17.56]
[  0. -98. -24.];[ 6.35704713e-04 -9.83168037e+01 -2.39275710e+01];[0 0 0];[0.62 -100.99 -25.29]
[  0. -98. -16.];[ 2.70222898e-08 -9.83328754e+01 -1.59433433e+01];[0 0 0];[0.7 -101.0 -18.18]
[  0. -98.  -8.];[ 8.56377178e-09 -9.83622653e+01 -7.96627030e+00];[0 0 0];[0.69 -101.07 -10.28]
[  0. -98.   0.];[ 9.55452443e-09 -9.84000815e+01 -3.79095760e-04];[0 0 0];[0.59 -101.15 -2.14]
[  0. -98.   8.];[ 8.02579289e-09 -9.83623659e+01  7.96562766e+00];[0 0 0];[0.58 -101.19 5.94]
[  0. -98.  16.];[ 8.38894419e-09 -9.83329224e+01  1.59428135e+01];[0 0 0];[0.58 -101.12 14.21]
[  0. -98.  24.];[ 7.25730757e-09 -9.83166417e+01  2.39280427e+01];[0 0 0];[0.4 -100.75 22.49]
[ -8. -98.  16.];[ -7.96801929 -98.3406585   15.94289351];[0 0 0];[-7.5 -100.84 15.08]
[ -8. -98.   8.];[ -7.96583767 -98.36582043   7.96614091];[0 0 0];[-7.5 -101.03 6.82]
[ -8. -98.   0.];[-7.96533124e+00 -9.83690853e+01  3.77952314e-04];[0 0 0];[-7.58 -101.17 -1.2]
[ -8. -98.  -8.];[ -7.96583394 -98.36588179  -7.96550089];[0 0 0];[-7.6 -101.35 -9.34]
[ -8. -98. -16.];[ -7.96872057 -98.34055493 -15.94192054];[0 0 0];[-7.64 -101.4 -17.48]
[-16. -98. -16.];[-15.94223434 -98.34538998 -15.94251493];[0 0 0];[-15.57 -101.44 -17.46]
[-16. -98.  -8.];[-15.94109141 -98.34709984  -7.9684243 ];[0 0 0];[-15.63 -101.2 -10.16]
[-16. -98.   0.];[-1.59409183e+01 -9.83456591e+01 -3.77984204e-04];[0 0 0];[-15.67 -101.21 -2.03]
[-16. -98.   8.];[-15.941087   -98.34713953   7.96778539];[0 0 0];[-15.68 -101.22 6.15]
[-16. -98.  16.];[-15.94251318 -98.34539947  15.94222772];[0 0 0];[-15.87 -101.13 14.38]
[-24. -98.   0.];[-2.39139309e+01 -9.83397569e+01  1.76301295e-02];[0 0 0];[-23.46 -101.24 -0.99]
[ -32. -106.    0.];[-3.19091384e+01 -1.06281006e+02  1.89902118e-06];[0 0 0];[-29.79 -107.81 -1.61]
[ -24. -106.  -16.];[ -23.93670605 -106.28487352  -15.93775471];[0 0 0];[-23.67 -108.19 -17.84]
[ -24. -106.   -8.];[ -23.92739105 -106.28557392   -7.97460376];[0 0 0];[-23.89 -108.36 -10.44]
[ -24. -106.    0.];[-2.39257753e+01 -1.06288722e+02 -3.78275114e-04];[0 0 0];[-24.16 -108.45 -1.99]
[ -24. -106.    8.];[ -23.92738155 -106.28560834    7.97396869];[0 0 0];[-24.17 -108.37 6.54]
[ -24. -106.   16.];[ -23.93051779 -106.28173367   15.95188263];[0 0 0];[-24.31 -108.04 14.44]
[ -16. -106.   24.];[ -15.95371446 -106.27625298   23.93124822];[0 0 0];[-16.62 -107.66 22.45]
[ -16. -106.   16.];[ -15.94833711 -106.29111711   15.9485789 ];[0 0 0];[-16.34 -107.97 14.96]
