# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  0. -90.   0.];[ 6.48635157e-09 -9.06340868e+01  4.86275442e-09];[0 0 0];[0.18 -118.57 6.76]
[ 24. -98.   0.];[ 2.39143928e+01 -9.85652837e+01 -4.12375377e-09];[0 0 0];[19.49 -122.11 7.71]
[ 16. -98. -16.];[ 15.94741421 -98.56843779 -15.94741417];[0 0 0];[13.96 -123.05 -7.63]
[ 16. -98.  -8.];[ 15.94605119 -98.56892816  -7.97465988];[0 0 0];[13.61 -122.98 -0.92]
[ 16. -98.   0.];[ 1.59455979e+01 -9.85691087e+01  2.03773852e-09];[0 0 0];[13.46 -122.73 6.57]
[ 16. -98.   8.];[ 15.9460512  -98.56892819   7.97465988];[0 0 0];[13.37 -122.06 14.07]
[ 16. -98.  16.];[ 15.9474142  -98.56843783  15.94741418];[0 0 0];[13.28 -120.98 21.5]
[  8. -98.  16.];[  7.9746599  -98.56892835  15.94605117];[0 0 0];[7.11 -121.43 21.66]
[  8. -98.   8.];[  7.97397668 -98.56821621   7.97397664];[0 0 0];[6.91 -122.05 14.74]
[  8. -98.   0.];[ 7.97372475e+00 -9.85685420e+01 -2.21341160e-10];[0 0 0];[6.81 -122.7 7.21]
[  8. -98.  -8.];[  7.97397666 -98.56821629  -7.97397665];[0 0 0];[6.9 -122.98 -0.27]
[  8. -98. -16.];[  7.97465987 -98.56892836 -15.94605118];[0 0 0];[6.94 -122.98 -7.89]
[  0. -98. -24.];[-1.13766080e-09 -9.85652839e+01 -2.39143928e+01];[0 0 0];[0.54 -123.53 -16.22]
[  0. -98. -16.];[ 1.88948101e-08 -9.85691088e+01 -1.59455979e+01];[0 0 0];[0.03 -123.61 -9.42]
[  0. -98.  -8.];[-5.01407200e-10 -9.85685422e+01 -7.97372475e+00];[0 0 0];[0.02 -123.49 -1.92]
[  0. -98.   0.];[ 6.62533259e-10 -9.85634380e+01  4.36690864e-09];[0 0 0];[-0.06 -123.28 5.74]
[  0. -98.   8.];[-2.45306468e-08 -9.85685422e+01  7.97372473e+00];[0 0 0];[-0.12 -122.65 13.32]
[  0. -98.  16.];[-1.97073292e-08 -9.85691088e+01  1.59455978e+01];[0 0 0];[-0.13 -121.63 20.58]
[  0. -98.  24.];[-4.87967943e-10 -9.85652839e+01  2.39143928e+01];[0 0 0];[-0.08 -120.59 28.2]
[ -8. -98.  16.];[ -7.97465989 -98.56892833  15.94605118];[0 0 0];[-6.13 -121.58 21.78]
[ -8. -98.   8.];[ -7.97397664 -98.56821628   7.97397666];[0 0 0];[-6.35 -122.44 14.34]
[ -8. -98.   0.];[-7.97372474e+00 -9.85685420e+01  9.27586986e-09];[0 0 0];[-6.35 -123.15 6.76]
[ -8. -98.  -8.];[ -7.97397665 -98.56821631  -7.97397665];[0 0 0];[-6.37 -123.41 -0.79]
[ -8. -98. -16.];[ -7.9746599  -98.56892832 -15.94605117];[0 0 0];[-6.43 -123.37 -8.36]
[-16. -98. -16.];[-15.94741422 -98.56843781 -15.94741416];[0 0 0];[-13.08 -123.46 -8.65]
[-16. -98.  -8.];[-15.9460512  -98.56892819  -7.97465989];[0 0 0];[-13.31 -123.5 -1.43]
