# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  0. -90.   0.];[-4.22460974e-05 -9.01380882e+01  9.72957489e-06];[0 0 0];[-0.65 -106.66 0.41]
[ 24. -98.   0.];[ 2.39155988e+01 -9.83548185e+01 -1.29282481e-02];[0 0 0];[21.71 -113.48 0.46]
[ 16. -98. -16.];[ 15.9332945  -98.34945712 -15.94526451];[0 0 0];[14.95 -113.47 -14.92]
[ 16. -98.  -8.];[ 15.9387892  -98.31882358  -7.97580415];[0 0 0];[14.88 -113.73 -7.03]
[ 16. -98.   0.];[ 1.59428532e+01 -9.83063552e+01 -7.80227678e-03];[0 0 0];[14.84 -113.53 0.6]
[ 16. -98.   8.];[ 15.94658594 -98.30561088   7.96281627];[0 0 0];[14.74 -113.25 8.38]
[ 16. -98.  16.];[ 15.94515313 -98.34934216  15.93338708];[0 0 0];[14.77 -112.77 15.8]
[  8. -98.  16.];[  7.97570355 -98.3187155   15.93886753];[0 0 0];[6.78 -112.92 15.6]
[  8. -98.   8.];[  7.97607577 -98.25832472   7.9700943 ];[0 0 0];[6.91 -113.18 7.88]
[  8. -98.   0.];[ 7.97377342e+00 -9.82476251e+01 -3.25718703e-03];[0 0 0];[7.05 -113.36 0.27]
[  8. -98.  -8.];[  7.97004285 -98.25844578  -7.97615453];[0 0 0];[7.2 -113.57 -7.31]
[  8. -98. -16.];[  7.96276835 -98.30563515 -15.94669603];[0 0 0];[7.43 -113.61 -14.76]
[  0. -98. -24.];[-1.29507742e-02 -9.83548703e+01 -2.39157243e+01];[0 0 0];[-0.19 -113.65 -21.12]
[  0. -98. -16.];[-7.82985140e-03 -9.83064228e+01 -1.59429541e+01];[0 0 0];[-0.22 -113.93 -14.5]
[  0. -98.  -8.];[-3.28442266e-03 -9.82476928e+01 -7.97385164e+00];[0 0 0];[-0.24 -113.7 -7.17]
[  0. -98.   0.];[-4.36959471e-05 -9.81941846e+01 -1.93790117e-05];[0 0 0];[-0.28 -113.45 0.49]
[  0. -98.   8.];[ 3.17307915e-03 -9.82475028e+01  7.97382015e+00];[0 0 0];[-0.45 -113.25 8.11]
[  0. -98.  16.];[ 7.69870513e-03 -9.83062501e+01  1.59429194e+01];[0 0 0];[-0.82 -112.87 15.56]
[  0. -98.  24.];[ 1.28124474e-02 -9.83547547e+01  2.39156750e+01];[0 0 0];[-1.26 -112.44 22.5]
[ -8. -98.  16.];[ -7.96295425 -98.30529126  15.94667932];[0 0 0];[-8.85 -113.05 15.35]
[ -8. -98.   8.];[ -7.97017826 -98.25833735   7.97610756];[0 0 0];[-8.67 -113.45 7.65]
[ -8. -98.   0.];[-7.97389513e+00 -9.82475394e+01  3.20775154e-03];[0 0 0];[-8.56 -113.64 0.02]
[ -8. -98.  -8.];[ -7.97616724 -98.25850272  -7.97012115];[0 0 0];[-8.52 -113.9 -7.59]
[ -8. -98. -16.];[ -7.97581045 -98.31886098 -15.93889533];[0 0 0];[-8.45 -113.75 -14.81]
[-16. -98. -16.];[-15.94525531 -98.34947942 -15.93340648];[0 0 0];[-16.17 -113.79 -14.87]
[-16. -98.  -8.];[-15.94675356 -98.30536447  -7.96289275];[0 0 0];[-15.93 -113.85 -7.34]
[-16. -98.   0.];[-1.59430107e+01 -9.83062736e+01  7.74355763e-03];[0 0 0];[-15.92 -113.6 0.17]
[-16. -98.   8.];[-15.93897445 -98.31869102   7.9757429 ];[0 0 0];[-15.99 -113.41 7.87]
[-16. -98.  16.];[-15.93350926 -98.34927551  15.94520044];[0 0 0];[-16.3 -112.98 15.33]
[-24. -98.   0.];[-2.39157822e+01 -9.83547502e+01  1.28623596e-02];[0 0 0];[-23.69 -113.75 -0.41]
[ -32. -106.    0.];[-3.19255758e+01 -1.06300610e+02  9.05244980e-03];[0 0 0];[-29.03 -120.48 0.0]
