# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  0. -90.   0.];[-7.42630186e-05 -9.02460667e+01  1.00119240e-05];[  3.0701336  -95.03068518   1.22324726];[0.0, 0.0, 0.0]
[ 24. -98.   0.];[ 2.18816948e+01 -9.83604423e+01 -2.51952563e-02];[  19.56934877 -101.97007544    1.17820989];[0.0, 0.0, 0.0]
[ 16. -98. -16.];[ 15.9359747  -98.54446314 -15.82004605];[  17.42679673 -103.20368438  -12.31255204];[0.0, 0.0, 0.0]
[ 16. -98.  -8.];[ 15.90862793 -98.48278796  -7.96945564];[  16.45637753 -102.66202317   -6.53521611];[0.0, 0.0, 0.0]
[ 16. -98.   0.];[ 1.59143597e+01 -9.84659247e+01 -1.50143749e-02];[  16.36278603 -102.48322572    0.48460261];[0.0, 0.0, 0.0]
[ 16. -98.   8.];[ 15.92239927 -98.45558183   7.94428506];[  16.35150317 -102.49304736    7.36275121];[0.0, 0.0, 0.0]
[ 16. -98.  16.];[ 15.92381366 -98.51006881  15.90203957];[  16.36514201 -102.83555641   14.511008  ];[0.0, 0.0, 0.0]
[  8. -98.  16.];[  7.96954836 -98.47517237  15.91011176];[   8.8197572  -102.0533266    13.84464406];[0.0, 0.0, 0.0]
[  8. -98.   8.];[  7.96490285 -98.40278502   7.95784336];[   9.54181034 -102.12554171    7.49060622];[0.0, 0.0, 0.0]
[  8. -98.   0.];[ 7.96011244e+00 -9.83935623e+01 -2.20006654e-03];[  10.14490522 -102.59275475    1.23213533];[0.0, 0.0, 0.0]
[  8. -98.  -8.];[  7.95516154 -98.40331713  -7.96216049];[  10.32187794 -102.71458824   -5.79443827];[0.0, 0.0, 0.0]
[  8. -98. -16.];[  7.94786765 -98.44968556 -15.92093526];[   9.75361821 -102.63965064  -13.19494893];[0.0, 0.0, 0.0]
[  0. -98. -24.];[-1.08353475e-02 -9.84989539e+01 -2.38719820e+01];[   1.59671068 -101.57473787  -21.07897913];[0.0, 0.0, 0.0]
[  0. -98. -16.];[-1.15394700e-02 -9.84525896e+01 -1.59192341e+01];[   2.27646043 -101.84893456  -13.72121225];[0.0, 0.0, 0.0]
[  0. -98.  -8.];[-5.18141255e-03 -9.83879278e+01 -7.96336440e+00];[   2.80055261 -102.06351985   -6.20009652];[0.0, 0.0, 0.0]
